#Chromosome	FeatureStart	FeatureStop	Sequence_IUPAC_Plus	SimilarBlocks	Function	Bile	BSK30	Calcutta	Ensete01	EnseteBedadit	EnseteDerea	FHIA	Itinerans	Kole	Lidi	MasKirana	Pahang	PKW	Tanduk	TongkatLangitMaluku
chr01	8385649	8391793	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	23785526	25761925	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	2093805	2098303	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5232467	5247302	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6278165	6300314	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	11531688	11548991	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	13631287	13641801	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	26209723	26233371	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	261838	267803	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	392520	404614	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	521137	525479	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	776996	795020	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	1179164	1183647	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1437924	1454442	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	1703351	1706829	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1818580	1845833	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	1962438	1973492	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0
chr01	2220465	2230162	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	2735719	2760876	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	2880528	2889077	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3271734	3278389	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3406906	3416402	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	3526710	3559101	.	.	3	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
chr01	3800465	3804628	.	.	3	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0
chr01	3928190	3933711	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1
chr01	4320419	4327306	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4454880	4459039	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4583675	4591325	.	.	3	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1
chr01	4846236	4854486	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	4979075	4985943	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5101576	5113804	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5370467	5376878	.	.	3	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr01	5503331	5506024	.	.	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0
chr01	5633023	5636545	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5763241	5770222	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	5892602	5905042	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6158838	6167574	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6419150	6426012	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr01	6553404	6560055	.	.	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
